,N,calculatedd,calculatedsep,d,modulatedl,modulatedtheta,modulatorl,modulatortheta,sep
0,1,$0.0199 \pm 0.0004$,--,0.02,--,--,$87.3 \pm 1.6$,$0.0319 \pm 0.0006$,--
1,1,$0.060 \pm 0.007$,--,0.04,--,--,$29.0 \pm 3.4$,$0.0106 \pm 0.0013$,--
2,1,$0.0848 \pm 0.0014$,--,0.08,--,--,$20.47 \pm 0.30$,$0.00747 \pm 0.00012$,--
3,1,$0.1726 \pm 0.0030$,--,0.16,--,--,$10.05 \pm 0.16$,$0.00367 \pm 0.00006$,--
4,1,$0.0777 \pm 0.0011$,--,--,--,--,$22.33 \pm 0.28$,$0.00815 \pm 0.00012$,--
5,2,$0.062 \pm 0.005$,$0.282 \pm 0.004$,0.08,$6.16 \pm 0.09$,$0.00225 \pm 0.00004$,$28.2 \pm 2.4$,$0.0103 \pm 0.0009$,0.26
6,2,$0.0837 \pm 0.0009$,$0.516 \pm 0.017$,0.08,$3.36 \pm 0.11$,$0.00123 \pm 0.00004$,$20.72 \pm 0.15$,$0.00756 \pm 0.00008$,0.5
7,2,$0.0436 \pm 0.0013$,$0.1366 \pm 0.0024$,0.04,$12.69 \pm 0.21$,$0.00463 \pm 0.00008$,$39.8 \pm 1.1$,$0.0145 \pm 0.0004$,0.125
8,2,$0.0385 \pm 0.0013$,$0.266 \pm 0.004$,0.04,$6.51 \pm 0.08$,$0.002377 \pm 0.000033$,$45.0 \pm 1.5$,$0.0164 \pm 0.0006$,0.25
9,2,$0.0422 \pm 0.0004$,$0.518 \pm 0.009$,0.04,$3.35 \pm 0.05$,$0.001222 \pm 0.000022$,$41.12 \pm 0.31$,$0.01501 \pm 0.00016$,0.5
10,3,$0.0375 \pm 0.0035$,$0.230 \pm 0.008$,0.04,$7.53 \pm 0.25$,$0.00275 \pm 0.00009$,$46 \pm 4$,$0.0169 \pm 0.0016$,0.25
